O,N,SSA,PV,RMIC,Dap,ID/IG,M,Anion,AML,PW,CD,Cs
8.8,0.93,1207.26,0.55,70.90909091,1.8,1.05,1,1,3,1.6,10,39.446
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,0.5,108.5
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,1,96.3
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,2,85.3
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,5,83.4
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,10,72.9
4.8,1.3,2186,1,67,1.83,1.02,1,1,3,1.6,20,66.5
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,0.2,209.1
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,0.5,184.1
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,1,168
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,2,155.1
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,5,140.8
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,10,117.2
6.1,2.34,2702.3,1.81,19.33701657,2.679199201,1.46,1,1,1,1.6,20,105.7
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,0.1,115.44
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,0.2,104.4
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,0.5,96.6
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,0.8,93.1
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,1,90.1
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,2,84.7
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,5,75.5
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,8,69.4
11.38,8.71,499.8,0.5043,20.48819528,4.04,1.07,2,1,3,1.6,10,66.4
