O,N,SSA,PV,RMIC,Dap,ID/IG,M,Anion,AML,PW,CD,Cs
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,3,51.7
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,4,49.9
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,5,49.2
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,10,45.5
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,15,43.7
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,20,41.1
6.42,2.75,1301.6,3.04,9.718807621,9.34234788,0.92,2,1,2.5,1.6,30,37.4
4.77,0,1644,0.96,57.08333333,2.335766423,1.06,1,1,1.77,1.6,0.1,52.9
4.77,0,1644,0.96,57.08333333,2.335766423,1.06,1,1,1.77,1.6,0.2,48.7
4.77,0,1644,0.96,57.08333333,2.335766423,1.06,1,1,1.77,1.6,0.5,43.8
4.77,0,1644,0.96,57.08333333,2.335766423,1.06,1,1,1.77,1.6,1,40
4.77,0,1644,0.96,57.08333333,2.335766423,1.06,1,1,1.77,1.6,2,36.5
4.77,0,1644,0.96,57.08333333,2.335766423,1.06,1,1,1.77,1.6,5,31.4
4.77,0,1644,0.96,57.08333333,2.335766423,1.06,1,1,1.77,1.6,10,26.9
4.77,0,1644,0.96,57.08333333,2.335766423,1.06,1,1,1.77,1.6,20,21.4
9.1,3.1,1055,0.95,36.84210526,3.601895735,1.06,2,1,1,1.7,0.1,230
9.1,3.1,1055,0.95,36.84210526,3.601895735,1.06,2,1,1,1.7,0.2,165
9.1,3.1,1055,0.95,36.84210526,3.601895735,1.06,2,1,1,1.7,0.5,150
9.1,3.1,1055,0.95,36.84210526,3.601895735,1.06,2,1,1,1.7,1,137
9.1,3.1,1055,0.95,36.84210526,3.601895735,1.06,2,1,1,1.7,2,127
9.1,3.1,1055,0.95,36.84210526,3.601895735,1.06,2,1,1,1.7,5,122
9.1,3.1,1055,0.95,36.84210526,3.601895735,1.06,2,1,1,1.7,10,118
6.1,7.2,1843,1.1,30.90909091,2.387411829,1.01,2,1,1,1.6,0.5,181
6.1,7.2,1843,1.1,30.90909091,2.387411829,1.01,2,1,1,1.6,1,153.3
6.1,7.2,1843,1.1,30.90909091,2.387411829,1.01,2,1,1,1.6,2,137.2
6.1,7.2,1843,1.1,30.90909091,2.387411829,1.01,2,1,1,1.6,3,130.2
6.1,7.2,1843,1.1,30.90909091,2.387411829,1.01,2,1,1,1.6,5,121.7
6.1,7.2,1843,1.1,30.90909091,2.387411829,1.01,2,1,1,1.6,10,110.4
6.1,7.2,1843,1.1,30.90909091,2.387411829,1.01,2,1,1,1.6,15,104
