Actual,Predicted
111.6,103.781006
122.1,76.62511
91.0,79.72513
90.1,92.64415
134.13333,123.013145
103.6,99.38504
135.5,81.685036
130.1,111.65796
160.1,136.20024
118.0,118.74318
30.2,30.18919
76.1,78.98574
60.4,56.949627
93.1,93.60569
60.3,61.65858
65.7,59.07194
80.8,80.803635
26.9,26.157482
98.0,85.25527
59.11111,60.80508
65.77778,75.03853
210.0,207.33766
88.8,88.57304
178.5,169.9492
127.3,126.0112
83.1,82.48269
66.1,66.69321
68.8,68.449554
78.5,79.50752
57.0,60.8511
156.8,202.62709
116.0,115.49119
76.0,75.509155
106.53333,106.22224
46.9,47.541363
48.7,47.71201
36.5,36.522285
123.77778,121.20308
21.6,21.613525
112.17778,112.127365
104.9,109.986435
110.2,79.3723
56.8,58.45363
73.1,67.85672
160.1,142.45293
45.333332,45.26448
141.4,134.83183
117.3,116.01734
117.0,122.38274
69.751,69.79381
110.4,114.673615
72.9,63.024067
70.3,69.87645
89.155556,89.43985
124.8,117.38881
59.8,59.802654
73.751,71.3022
141.1,157.1683
217.5,219.03587
81.4,106.376205
61.1,63.494503
109.66,81.915726
75.8,74.884964
86.9,77.97122
83.3,86.487885
133.7,87.7268
44.5,44.542385
19.7,19.709259
43.7,43.572876
128.2,114.24911
99.9,76.60721
113.7,115.042366
124.5,124.68072
24.7,24.218384
50.666668,41.684578
98.9,90.943665
73.9,74.746544
96.7,68.088264
77.6,80.31193
64.2,64.61984
113.8,86.010254
136.6,138.08546
137.0,160.76361
67.9,70.004745
86.7,77.38146
77.9,79.07894
38.7,38.31724
96.6,97.539505
181.5,166.80608
149.9,115.19751
68.5,68.59544
97.8,97.980156
96.3,82.16471
17.0,16.645504
28.7,28.560932
81.77778,82.008415
77.2,78.083374
93.5,108.474434
40.88889,36.252373
71.111115,78.663506
94.0,92.76515
112.9,96.26614
155.0,141.67943
55.3,55.380833
89.9,89.89677
139.9,124.28867
50.9,50.72391
67.9,68.15902
83.2,86.07211
84.0,80.58623
167.7,157.64275
59.4,59.6005
146.9,127.81607
74.0,59.394016
94.5,94.82778
117.0,75.333435
76.2,76.1928
79.6,79.79848
153.8,128.89592
79.4,78.990524
134.0,131.06673
88.9,88.74707
93.9,99.983444
134.2,140.75899
103.64445,105.27221
91.3,67.574005
38.9,39.064987
127.5,116.7767
84.7,87.96619
141.2,139.26361
