O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
6.98,2.3,2353.0,2.14,37.85,3.64,2.18,1,0.5,112.1
7.6,3.95,1162.9,0.448,80.996,1.54,1.11,1,30.0,60.0
9.92,0.0,1667.3,1.23,52.846,2.95,1.1,0,5.0,75.8
6.2,1.6,2691.3,1.77,32.768,2.63,1.088,0,0.2,160.1
9.71,5.41,670.0,0.72,59.722,4.3,1.89,1,20.0,49.1
2.05,4.25,1141.9,0.575,77.555,2.01,1.08,1,0.5,139.6
6.82,2.11,3407.6,1.953,29.391,2.29,2.41,0,60.0,77.9
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,1.0,108.9
4.3,0.0,1655.0,0.81,71.605,1.95,1.05,0,2.0,59.1
18.15,3.51,648.2,0.32,94.937,1.97,1.01,0,1.0,86.8
18.15,3.51,648.2,0.32,94.937,1.97,1.01,0,0.1,156.5
10.8,5.7,1454.0,0.83,10.843,2.28,1.05,0,1.0,81.7
10.8,5.7,1454.0,0.83,10.843,2.28,1.05,0,3.0,67.0
3.55,7.37,933.1,0.38,81.32,1.63,1.09,1,20.0,77.0
9.3,0.0,1781.0,0.784,53.341,1.76,1.18,0,0.5,108.2
3.37,0.0,3252.6,3.428,9.947,4.22,1.02,1,0.5,94.2
18.15,3.51,648.2,0.32,94.937,1.97,1.01,0,4.0,51.8
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,20.0,62.2
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,20.0,79.9
7.71,0.0,804.0,0.315,62.189,1.57,0.97,0,5.0,33.2
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,0.05,109.7
7.83,0.0,573.8,0.92,6.52,6.4,0.91,0,0.3,26.2
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,15.0,58.4
14.02,1.93,3292.0,1.54,69.481,1.87,1.048,0,0.5,113.3
8.0,8.12,1685.0,1.2,18.872,2.85,0.85,1,0.2,153.8
6.1,2.34,2702.3,1.81,19.337,2.68,1.46,0,20.0,105.7
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,8.0,97.5
5.12,0.0,907.9,0.68,40.0,3.0,0.89,0,0.1,90.6
6.2,1.6,2691.3,1.77,32.768,2.63,1.088,0,20.0,96.7
20.61,3.95,544.8,0.26,95.446,1.91,0.96,0,0.1,134.5
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,0.5,91.0
11.92,0.0,2228.0,1.07,59.813,1.92,1.5,0,0.5,125.0
18.75,2.74,3518.0,1.57,77.707,1.79,1.102,0,2.0,116.5
9.1,3.1,1055.0,0.95,36.842,3.6,1.06,0,0.1,230.0
6.15,13.57,1274.8,0.551,71.506,1.73,1.97,0,30.0,23.9
5.68,1.49,1640.1,1.41,32.624,7.91,0.95,0,20.0,57.1
7.48,2.67,3553.1,2.071,26.654,2.33,2.79,0,0.5,199.1
10.45,2.44,2993.2,1.71,53.216,2.29,0.91,0,0.5,141.2
6.99,1.59,2465.9,1.29,0.0,2.09,0.912,0,20.0,41.0
8.06,0.0,1770.0,0.721,57.627,1.63,1.1,0,2.0,135.5
6.98,2.3,2353.0,2.14,37.85,3.64,2.18,1,0.2,127.2
3.55,7.37,933.1,0.38,81.32,1.63,1.09,1,8.0,90.7
6.82,2.11,3407.6,1.953,29.391,2.29,2.41,0,30.0,102.5
11.92,0.0,2228.0,1.07,59.813,1.92,1.5,0,10.0,75.0
6.3,0.0,1886.0,0.93,70.968,1.98,1.04,0,5.0,62.2
11.38,8.71,499.8,0.504,20.488,4.04,1.07,0,5.0,75.5
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,10.0,79.6
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,3.0,91.6
8.21,0.0,747.9,0.6,40.0,3.19,0.93,0,0.05,35.6
3.55,7.37,933.1,0.38,81.32,1.63,1.09,1,2.0,112.2
14.02,1.93,3292.0,1.54,69.481,1.87,1.048,0,2.0,85.8
9.92,0.0,1667.3,1.23,52.846,2.95,1.1,0,3.0,79.8
8.2,0.0,1500.0,0.78,69.231,2.1,1.01,0,5.0,71.1
6.15,13.57,1274.8,0.551,71.506,1.73,1.97,0,2.0,106.8
5.52,0.89,2276.0,1.331,20.962,2.34,0.872,0,20.0,78.5
3.9,9.7,844.0,0.41,77.37,1.94,0.99,0,1.0,130.4
14.26,1.82,3166.0,1.7,51.765,2.15,1.044,0,1.0,81.4
6.99,1.59,2465.9,1.29,0.0,2.09,0.912,0,10.0,44.5
7.21,3.67,1777.0,1.56,57.692,3.51,2.0,1,50.0,64.2
5.52,0.89,2276.0,1.331,20.962,2.34,0.872,0,0.2,104.8
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,15.0,56.5
7.48,2.67,3553.1,2.071,26.654,2.33,2.79,0,5.0,159.6
8.8,0.93,1207.3,0.55,70.909,1.8,1.05,0,0.8,69.8
6.1,2.34,2702.3,1.81,19.337,2.68,1.46,0,0.5,184.1
7.21,3.67,1777.0,1.56,57.692,3.51,2.0,1,10.0,77.7
7.71,0.0,804.0,0.315,62.189,1.57,0.97,0,10.0,26.7
9.1,3.1,1055.0,0.95,36.842,3.6,1.06,0,5.0,122.0
8.06,0.0,1770.0,0.721,57.627,1.63,1.1,0,10.0,102.9
7.21,3.67,1777.0,1.56,57.692,3.51,2.0,1,0.2,117.6
4.8,1.3,2186.0,1.0,67.0,1.83,1.02,0,0.5,108.5
6.93,1.98,3415.3,2.482,15.995,2.91,2.82,0,2.0,144.7
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,14.0,97.2
21.55,3.29,1140.8,0.86,20.93,3.02,0.82,1,10.0,38.5
14.02,1.93,3292.0,1.54,69.481,1.87,1.048,0,10.0,72.2
15.55,2.61,3139.2,1.74,55.747,2.22,1.02,0,3.0,112.5
8.8,0.93,1207.3,0.55,70.909,1.8,1.05,0,8.0,43.6
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,10.0,88.5
6.1,7.2,1843.0,1.1,30.909,2.39,1.01,0,1.0,153.3
10.45,2.44,2993.2,1.71,53.216,2.29,0.91,0,7.0,108.3
12.04,8.29,1530.9,0.96,38.542,2.51,0.86,1,10.0,128.6
9.64,3.44,1624.0,0.918,65.251,2.26,0.999,0,2.0,90.4
3.9,9.7,844.0,0.41,77.37,1.94,0.99,0,5.0,104.9
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,0.5,105.1
10.58,1.47,2290.0,0.93,88.172,1.62,0.957,0,5.0,37.7
9.71,5.41,670.0,0.72,59.722,4.3,1.89,1,10.0,55.7
11.92,0.0,2228.0,1.07,59.813,1.92,1.5,0,1.0,110.0
6.99,1.59,2465.9,1.29,0.0,2.09,0.912,0,15.0,41.6
11.2,4.2,697.0,0.83,21.687,3.21,0.958,0,5.0,45.7
6.3,0.0,1886.0,0.93,70.968,1.98,1.04,0,0.5,81.8
4.41,12.14,494.0,0.27,62.963,2.19,3.1,0,20.0,61.8
8.06,0.0,1770.0,0.721,57.627,1.63,1.1,0,0.5,177.7
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,5.0,99.8
3.37,0.0,3252.6,3.428,9.947,4.22,1.02,1,3.0,80.1
3.37,0.0,3252.6,3.428,9.947,4.22,1.02,1,8.0,73.0
18.15,3.51,648.2,0.32,94.937,1.97,1.01,0,0.5,98.5
7.48,2.67,3553.1,2.071,26.654,2.33,2.79,0,10.0,150.3
2.05,4.25,1141.9,0.575,77.555,2.01,1.08,1,3.0,121.9
11.2,4.2,697.0,0.83,21.687,3.21,0.958,0,1.0,56.0
7.6,3.95,1162.9,0.448,80.996,1.54,1.11,1,0.3,115.2
8.2,0.0,1500.0,0.78,69.231,2.1,1.01,0,10.0,65.8
6.15,13.57,1274.8,0.551,71.506,1.73,1.97,0,10.0,67.9
8.2,0.0,1500.0,0.78,69.231,2.1,1.01,0,0.5,89.3
3.9,9.7,844.0,0.41,77.37,1.94,0.99,0,0.1,189.4
10.45,2.44,2993.2,1.71,53.216,2.29,0.91,0,50.0,91.0
