O,N,SSA,PV,RMIC,Dap,ID/IG,Anion,CD,Cs
3.9,9.7,844,0.41,77.37,1.94,0.99,0,0.1,189.4
3.9,9.7,844,0.41,77.37,1.94,0.99,0,0.2,154.5
3.9,9.7,844,0.41,77.37,1.94,0.99,0,0.5,131.5
3.9,9.7,844,0.41,77.37,1.94,0.99,0,1,130.4
3.9,9.7,844,0.41,77.37,1.94,0.99,0,2,117.9
3.9,9.7,844,0.41,77.37,1.94,0.99,0,3,112.3
3.9,9.7,844,0.41,77.37,1.94,0.99,0,4,107.7
3.9,9.7,844,0.41,77.37,1.94,0.99,0,5,104.9
3.9,9.7,844,0.41,77.37,1.94,0.99,0,7,102.2
3.9,9.7,844,0.41,77.37,1.94,0.99,0,10,100.3
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,0.2,104.9
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,0.5,91
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,1,84.9
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,2,78.2
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,3,74.2
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,4,70.8
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,5,68.5
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,10,60.3
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,15,56.5
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,20,52.1
4.81,1.09,972.4,1.67,22.902,6.87,0.82,0,30,44.8
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,0.2,132.9
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,0.5,114.4
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,1,108.9
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,2,99.4
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,3,95.6
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,4,91.1
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,5,89.9
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,10,83.3
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,15,80.8
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,20,76.6
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,30,73.3
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,40,68.8
4.89,1.74,1666.8,2.42,10.685,5.81,0.88,0,50,65.2
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,0.2,67.8
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,0.5,59.8
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,1,56.8
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,2,53.2
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,3,51.7
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,4,49.9
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,5,49.2
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,10,45.5
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,15,43.7
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,20,41.1
6.42,2.75,1301.6,3.04,9.719,9.34,0.92,0,30,37.4
4.77,0,1644,0.96,57.083,2.34,1.06,0,0.1,52.9
4.77,0,1644,0.96,57.083,2.34,1.06,0,0.2,48.7
4.77,0,1644,0.96,57.083,2.34,1.06,0,0.5,43.8
4.77,0,1644,0.96,57.083,2.34,1.06,0,1,40
4.77,0,1644,0.96,57.083,2.34,1.06,0,2,36.5
4.77,0,1644,0.96,57.083,2.34,1.06,0,5,31.4
4.77,0,1644,0.96,57.083,2.34,1.06,0,10,26.9
4.77,0,1644,0.96,57.083,2.34,1.06,0,20,21.4
9.1,3.1,1055,0.95,36.842,3.6,1.06,0,0.1,230
9.1,3.1,1055,0.95,36.842,3.6,1.06,0,0.2,165
9.1,3.1,1055,0.95,36.842,3.6,1.06,0,0.5,150
9.1,3.1,1055,0.95,36.842,3.6,1.06,0,1,137
9.1,3.1,1055,0.95,36.842,3.6,1.06,0,2,127
9.1,3.1,1055,0.95,36.842,3.6,1.06,0,5,122
9.1,3.1,1055,0.95,36.842,3.6,1.06,0,10,118
6.1,7.2,1843,1.1,30.909,2.39,1.01,0,0.5,181
6.1,7.2,1843,1.1,30.909,2.39,1.01,0,1,153.3
6.1,7.2,1843,1.1,30.909,2.39,1.01,0,2,137.2
6.1,7.2,1843,1.1,30.909,2.39,1.01,0,3,130.2
6.1,7.2,1843,1.1,30.909,2.39,1.01,0,5,121.7
6.1,7.2,1843,1.1,30.909,2.39,1.01,0,10,110.4
6.1,7.2,1843,1.1,30.909,2.39,1.01,0,15,104
4.2,6.3,543,0.9,11.111,6.63,0.99,0,0.5,110
4.2,6.3,543,0.9,11.111,6.63,0.99,0,1,97.8
4.2,6.3,543,0.9,11.111,6.63,0.99,0,2,89.8
4.2,6.3,543,0.9,11.111,6.63,0.99,0,3,84.9
4.2,6.3,543,0.9,11.111,6.63,0.99,0,5,78.4
4.2,6.3,543,0.9,11.111,6.63,0.99,0,10,67.2
4.2,6.3,543,0.9,11.111,6.63,0.99,0,15,58.2
10.8,5.7,1454,0.83,10.843,2.28,1.05,0,0.5,98
10.8,5.7,1454,0.83,10.843,2.28,1.05,0,1,81.7
10.8,5.7,1454,0.83,10.843,2.28,1.05,0,2,72.2
10.8,5.7,1454,0.83,10.843,2.28,1.05,0,3,67
10.8,5.7,1454,0.83,10.843,2.28,1.05,0,5,60.7
10.8,5.7,1454,0.83,10.843,2.28,1.05,0,10,50.9
10.8,5.7,1454,0.83,10.843,2.28,1.05,0,15,45.1
9.33,6.25,1021,1.07,67.973,4.19,0.84,1,0.2,122.3
9.33,6.25,1021,1.07,67.973,4.19,0.84,1,0.5,108.1
9.33,6.25,1021,1.07,67.973,4.19,0.84,1,1,103.8
9.33,6.25,1021,1.07,67.973,4.19,0.84,1,2,94.2
9.33,6.25,1021,1.07,67.973,4.19,0.84,1,5,85.6
9.33,6.25,1021,1.07,67.973,4.19,0.84,1,10,76
9.33,6.25,1021,1.07,67.973,4.19,0.84,1,20,59.1
8,8.12,1685,1.2,18.872,2.85,0.85,1,0.2,153.8
8,8.12,1685,1.2,18.872,2.85,0.85,1,0.5,146.9
8,8.12,1685,1.2,18.872,2.85,0.85,1,1,127.3
8,8.12,1685,1.2,18.872,2.85,0.85,1,2,117
8,8.12,1685,1.2,18.872,2.85,0.85,1,5,108.7
8,8.12,1685,1.2,18.872,2.85,0.85,1,10,95.5
8,8.12,1685,1.2,18.872,2.85,0.85,1,20,82.3
9.75,7.83,2370,2.18,28.987,3.68,0.85,1,0.2,250
9.75,7.83,2370,2.18,28.987,3.68,0.85,1,0.5,217.5
9.75,7.83,2370,2.18,28.987,3.68,0.85,1,1,184.3
9.75,7.83,2370,2.18,28.987,3.68,0.85,1,2,163.5
9.75,7.83,2370,2.18,28.987,3.68,0.85,1,5,156.8
9.75,7.83,2370,2.18,28.987,3.68,0.85,1,10,151.9
9.75,7.83,2370,2.18,28.987,3.68,0.85,1,20,149.2
4.41,12.14,494,0.27,62.963,2.19,3.1,0,0.2,138.5
4.41,12.14,494,0.27,62.963,2.19,3.1,0,0.5,112.9
4.41,12.14,494,0.27,62.963,2.19,3.1,0,1,98.1
4.41,12.14,494,0.27,62.963,2.19,3.1,0,2,89.3
4.41,12.14,494,0.27,62.963,2.19,3.1,0,5,77.6
4.41,12.14,494,0.27,62.963,2.19,3.1,0,10,69
4.41,12.14,494,0.27,62.963,2.19,3.1,0,20,61.8
4.41,12.14,494,0.27,62.963,2.19,3.1,0,40,48.7
4.41,12.14,494,0.27,62.963,2.19,3.1,0,60,38.7
4.41,12.14,494,0.27,62.963,2.19,3.1,0,80,28.8
5.51,5.19,642,0.58,15.517,3.61,3.5,0,0.2,149.9
5.51,5.19,642,0.58,15.517,3.61,3.5,0,0.5,128.2
5.51,5.19,642,0.58,15.517,3.61,3.5,0,1,112.4
5.51,5.19,642,0.58,15.517,3.61,3.5,0,2,102.5
5.51,5.19,642,0.58,15.517,3.61,3.5,0,5,90.9
5.51,5.19,642,0.58,15.517,3.61,3.5,0,10,83.2
5.51,5.19,642,0.58,15.517,3.61,3.5,0,20,73.8
5.51,5.19,642,0.58,15.517,3.61,3.5,0,40,63.3
5.51,5.19,642,0.58,15.517,3.61,3.5,0,60,55.4
5.51,5.19,642,0.58,15.517,3.61,3.5,0,80,46.9
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,0.2,94.6
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,0.5,84
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,0.8,80.3
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,1,77.9
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,2,75
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,5,71.3
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,8,67.5
7.41,0.53,1398.2,0.79,67.089,2.27,0.7,0,10,65.7
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,0.3,98.2
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,0.5,94.2
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,1,89.5
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,3,80.1
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,5,76.2
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,8,73
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,10,67.9
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,20,61.2
3.37,0,3252.6,3.428,9.947,4.22,1.02,1,30,56.4
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,0.3,111.6
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,0.5,105.1
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,1,102
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,3,96.6
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,5,92.4
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,8,90
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,10,88.5
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,20,79.9
2.75,0.95,1687.1,1.75,9.2,4.15,1.11,1,30,72.4
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,0.3,125.3
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,0.5,117.3
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,1,115.3
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,3,105.9
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,5,99.8
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,8,97.5
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,10,94.5
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,20,88.9
1.91,2.99,2330.9,2.756,9.507,4.73,1.24,1,30,83.1
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,0.3,107.6
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,0.5,103
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,1,99.7
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,3,91.6
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,5,88.7
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,8,82.4
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,10,79.6
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,20,71.9
1.9,1.3,1317.4,1.384,11.199,4.2,1.05,1,30,63.1
9.92,0,1667.3,1.23,52.846,2.95,1.1,0,0.5,101.2
9.92,0,1667.3,1.23,52.846,2.95,1.1,0,1,92.4
9.92,0,1667.3,1.23,52.846,2.95,1.1,0,2,84.3
9.92,0,1667.3,1.23,52.846,2.95,1.1,0,3,79.8
9.92,0,1667.3,1.23,52.846,2.95,1.1,0,4,77.2
9.92,0,1667.3,1.23,52.846,2.95,1.1,0,5,75.8
9.92,0,1667.3,1.23,52.846,2.95,1.1,0,10,68.2
9.92,0,1667.3,1.23,52.846,2.95,1.1,0,20,61
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,0.5,114.1
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,1,103.4
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,2,94.5
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,3,90
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,4,86.4
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,5,84
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,10,74.4
9.44,0.8,2295.3,1.63,55.828,2.84,1.18,0,20,62.2
9.71,5.41,670,0.72,59.722,4.3,1.89,1,0.1,122.4
9.71,5.41,670,0.72,59.722,4.3,1.89,1,0.2,92.4
9.71,5.41,670,0.72,59.722,4.3,1.89,1,0.5,79.7
9.71,5.41,670,0.72,59.722,4.3,1.89,1,1,72.7
9.71,5.41,670,0.72,59.722,4.3,1.89,1,2,68.4
9.71,5.41,670,0.72,59.722,4.3,1.89,1,5,61.1
9.71,5.41,670,0.72,59.722,4.3,1.89,1,10,55.7
9.71,5.41,670,0.72,59.722,4.3,1.89,1,20,49.1
9.71,5.41,670,0.72,59.722,4.3,1.89,1,40,43.7
