O,N,B,S,P,SSA,PV,RMIC,Dap,ID/IG,M,Anion,CC,AML,PW,CD,Cs
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,100.0,28.7
11.2,4.2,0.0,0.0,0.0,697.0,0.83,0.21686746987951808,3.21,0.958,1,SO4,stainless-steel mesh,2.0,1.6,200.0,27.2
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,0.1,204.7
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,0.2,181.5
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,0.5,165.9
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,1.0,152.7
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,2.0,141.1
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,5.0,134.2
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,0.3854166666666667,2.50832843425436,0.86,1,OTf,freestanding,2.4,1.6,10.0,128.6
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,0.1,134.5
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,0.2,110.2
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,0.4,93.0
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,0.5,86.7
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,1.0,72.9
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,2.0,57.0
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,3.0,48.0
20.61,3.95,0.0,0.0,0.0,544.83,0.26,0.9544628599746711,1.90885230255309,0.96,2,SO4,titanium foil,2.0,1.8,4.0,41.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.1,156.54
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.2,132.3
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.3,111.55
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.4,105.4
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,0.5,98.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,1.0,86.8
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,2.0,70.5
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,3.0,59.2
18.15,3.51,0.0,0.0,0.0,648.22,0.32,0.9493690413748418,1.9746382401036684,1.01,2,SO4,titanium foil,2.0,1.8,4.0,51.8
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,0.1,84.5
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,0.2,63.4
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,0.4,50.7
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,0.5,45.0
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,1.0,34.5
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,2.0,24.5
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,3.0,19.7
15.17,1.8,0.0,0.0,0.0,225.22,0.1,0.9201225468430867,1.81,1.08,2,SO4,titanium foil,2.0,1.8,4.0,17.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,0.2,153.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,0.5,125.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,1.0,110.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,2.0,98.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,5.0,84.0
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,0.5981308411214953,1.9210053859964094,1.5,1,SO4,stainless-steel foil,2.0,1.75,10.0,75.0
5.5,2.53,0.0,0.0,0.0,947.0,0.54,0.5,2.27,0.855,1,SO4,stainless-steel foil,1.5,1.6,0.5,117.9
5.5,2.53,0.0,0.0,0.0,947.0,0.54,0.5,2.27,0.855,1,SO4,stainless-steel foil,1.5,1.6,20.0,71.0
3.67,0.0,0.0,0.0,2.71,1175.0,0.71,0.5774647887323944,2.17,0.858,1,SO4,stainless-steel foil,1.5,1.6,0.5,136.2
3.67,0.0,0.0,0.0,2.71,1175.0,0.71,0.5774647887323944,2.17,0.858,1,SO4,stainless-steel foil,1.5,1.6,20.0,75.9
10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.36538461538461536,2.32,0.856,1,SO4,stainless-steel foil,1.5,1.6,0.5,165.9
10.41,2.37,0.0,0.0,2.1,899.0,0.52,0.36538461538461536,2.32,0.856,1,SO4,stainless-steel foil,1.5,1.6,20.0,110.9
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,0.1,119.9
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,0.2,108.3
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,0.5,100.2
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,1.0,94.6
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,2.0,90.4
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,5.0,84.8
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,0.6525054466230936,2.2610837438423643,0.999,1,SO4,stainless-steel mesh,2.0,1.6,20.0,81.1
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,2.0,1.6,0.1,159.9
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,2.0,1.6,0.2,139.2
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,0.5,124.8
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,1.0,116.0
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,2.0,109.9
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,5.0,101.9
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,0.4580759046778464,2.3252950230887635,0.917,1,SO4,stainless-steel mesh,10.0,1.6,20.0,94.0
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,0.20961682945154023,2.3391915641476273,0.872,1,SO4,stainless-steel mesh,2.0,1.6,0.1,114.2
