Actual,Predicted
55.3,54.66845
112.9,113.65652
136.9,137.24818
51.7,52.030434
72.7,75.022285
90.4,90.7663
35.4,36.67711
47.0,46.360664
71.3,70.924835
57.1,56.571312
66.9,68.70763
153.3,153.26045
102.2,103.7777
72.4,73.42928
81.6,84.20856
130.1,132.82433
114.1,116.38823
98.0,95.98136
150.0,159.34447
165.0,190.34529
41.4,40.779373
48.0,49.251686
53.6,52.659294
58.7,58.12539
34.8,35.581726
92.4,124.90545
78.6,83.71254
56.6,56.425972
72.0,73.86391
79.7,97.91325
41.5,42.727295
61.8,61.881554
78.4,77.749825
80.1,83.83693
38.7,39.588707
72.3,73.49124
89.3,91.1089
113.7,115.746765
84.0,84.305
136.8,145.15346
108.9,111.31865
92.4,94.761734
115.2,118.06859
88.7,89.073616
113.3,115.105934
60.5,61.951492
84.0,86.26669
109.9,109.29097
144.4,146.10149
72.2,72.56079
55.7,55.737633
56.5,55.847588
250.0,237.55669
60.7,60.170334
42.4,42.885895
58.2,59.46234
50.7,51.066208
114.5,100.926384
178.5,182.22218
45.3,45.64038
151.9,151.6055
69.4,68.853424
189.4,174.2366
141.4,144.37083
67.1,69.04788
88.9,90.45467
60.8,58.36303
105.4,110.95991
181.0,181.1866
166.8,168.63129
77.9,78.767876
104.9,104.75786
112.4,120.044334
104.5,105.3969
59.8,61.638023
85.8,86.8019
150.8,151.76158
110.9,111.74836
89.3,90.669235
59.1,60.085793
94.5,95.90268
67.0,66.71236
41.1,40.132248
174.3,176.12141
22.1,25.816347
138.4,144.54799
97.8,98.47547
184.1,188.61961
14.0,13.915792
91.6,94.865555
159.6,161.94597
121.7,121.87517
71.9,72.25206
28.8,29.029932
168.0,167.35075
68.8,69.0952
125.3,128.13705
56.0,56.50286
90.6,96.20249
134.5,131.24332
45.5,45.22872
209.1,210.44362
102.5,104.11801
141.2,141.61446
99.4,99.1087
128.8,129.58192
113.9,115.13745
79.4,81.10998
72.9,71.9467
78.2,81.01993
155.0,156.64703
28.7,29.770634
110.4,110.31334
59.2,60.664185
72.9,73.544525
181.5,192.13722
66.5,66.582695
99.7,99.90021
128.7,132.21297
113.3,116.7442
50.9,50.723213
69.8,70.98941
78.5,79.045105
67.8,69.93723
142.2,144.93988
130.8,135.09259
81.8,84.85866
132.9,133.0442
117.6,152.24582
139.9,144.47261
77.0,77.63256
85.9,88.63933
106.5,107.40847
149.1,159.60353
61.1,62.074516
139.6,141.65416
51.8,52.792854
38.9,40.644203
35.6,34.219406
75.8,76.04551
94.2,97.826866
87.8,88.236435
71.0,70.83838
65.7,66.1122
138.5,154.71031
98.5,103.50169
67.1,69.02939
199.1,203.89507
153.8,159.3061
104.0,103.55359
90.2,91.087395
77.6,78.34948
127.3,129.89226
117.9,119.331924
105.7,107.14622
110.9,118.69076
141.2,144.41975
99.8,101.977585
74.0,73.002846
70.2,71.652374
88.3,90.018684
37.4,36.862755
94.0,93.83737
89.2,89.8491
16.4,16.20932
85.3,87.692314
48.7,48.989525
76.4,77.71289
45.6,45.923286
127.2,154.97905
103.6,103.13952
91.0,91.68626
73.8,73.399414
120.9,119.194084
108.3,109.12738
121.9,124.001465
85.0,85.67452
65.1,67.65638
70.8,72.79655
67.5,67.935135
111.6,120.26077
79.8,81.17248
97.5,97.64478
49.5,51.126266
56.8,58.3132
204.7,200.96849
28.6,31.285639
112.2,113.41078
153.0,155.81734
113.8,117.88239
66.1,67.32263
132.3,131.1164
93.0,99.42938
109.3,110.64791
56.4,56.907455
38.5,38.113953
133.7,126.7346
71.6,73.36706
104.0,110.09237
101.9,102.528305
105.9,108.311646
137.0,136.58246
112.9,131.28111
99.9,102.15951
107.5,110.8109
132.6,135.3538
34.8,36.967667
60.4,61.054077
119.0,121.139435
160.1,170.19255
128.6,127.99681
135.5,135.5272
84.8,85.32938
60.0,60.91613
61.8,62.474464
60.3,60.121468
83.3,84.884155
89.5,94.25067
67.9,70.55755
153.4,160.48286
49.2,48.240044
99.3,100.728546
23.3,23.185339
69.7,70.62012
134.0,134.04655
115.3,117.21767
90.9,91.8683
110.0,110.91166
110.1,113.62037
34.5,36.33506
118.7,118.7219
89.9,92.242546
108.5,108.96709
130.2,130.86018
67.6,69.694084
79.9,80.97693
49.1,49.539032
106.8,108.443985
76.0,77.182434
149.2,149.35432
102.5,116.86856
118.9,121.07869
89.8,90.159615
92.4,93.40646
67.0,66.68746
65.2,65.43816
61.7,61.541412
104.8,103.45215
62.4,63.981506
90.7,91.130165
83.0,91.14209
43.6,44.89689
64.2,65.96941
122.3,129.19641
85.6,86.80264
82.3,82.24753
177.7,174.91447
49.1,51.082283
101.3,125.87517
123.8,127.99932
45.1,44.838585
77.9,78.80287
84.3,85.064545
