Actual,Predicted
81.4,97.326675
44.5,40.47056
64.2,64.49625
104.8,96.80574
56.5,56.00929
159.6,164.3629
69.8,71.20607
184.1,176.18393
77.7,77.663315
26.7,27.737719
122.0,79.000916
102.9,99.59834
117.6,116.47139
108.5,103.05722
144.7,156.26532
97.2,95.168625
38.5,38.60497
72.2,72.62431
112.5,114.173546
43.6,41.057793
88.5,89.21434
153.3,154.02391
108.3,109.23566
128.6,104.481384
90.4,90.95409
104.9,106.15847
105.1,104.34421
37.7,52.75871
55.7,56.28276
110.0,122.57761
41.6,41.16488
45.7,45.965633
81.8,71.41911
61.8,60.57695
177.7,148.12871
99.8,107.779236
80.1,85.59675
73.0,73.132576
98.5,92.59028
150.3,148.78253
121.9,122.48199
56.0,57.881084
115.2,114.58029
65.8,69.04365
67.9,65.59289
89.3,91.74678
189.4,135.96451
91.0,94.03702
130.8,134.50826
128.7,126.24956
68.7,68.37998
118.7,119.16198
114.1,112.10925
101.1,112.00351
99.3,106.53008
56.0,63.86723
67.2,63.721844
73.8,73.51901
155.1,161.4439
73.1,66.55374
43.7,44.25189
94.0,93.936615
21.4,26.372707
48.7,45.634083
196.8,176.68034
109.9,109.65128
48.3,47.646103
117.2,116.886826
99.4,98.45741
65.0,67.65396
106.5,107.04696
90.9,95.81231
130.1,112.53596
189.3,159.3776
103.4,106.162796
113.7,116.57222
92.4,92.86578
183.0,185.7608
83.2,82.48806
80.3,80.04135
122.1,123.79236
61.2,62.117226
119.0,115.70197
24.5,25.54929
140.8,139.40181
20.5,25.088165
133.7,94.10108
43.4,52.03937
94.2,96.43361
15.3,16.84129
28.6,26.93887
81.0,80.99223
23.3,23.635986
14.0,13.94645
56.8,56.972397
84.0,93.72331
78.6,75.691956
52.9,49.33801
99.7,101.10719
66.5,67.53801
93.5,100.893875
110.4,111.02186
165.0,165.66455
136.8,115.04102
66.4,64.0498
181.0,162.10535
93.9,100.14424
102.5,93.42264
39.7,39.179043
45.8,91.65063
43.4,45.049263
144.4,146.79161
92.4,93.826035
88.3,85.95781
39.1,38.13354
72.4,74.12535
82.3,83.31409
106.5,106.31
92.4,82.18746
30.6,30.549591
67.2,68.10127
67.1,66.650314
26.9,26.646938
94.0,96.92378
70.8,72.43149
103.0,102.887474
58.1,64.57079
61.1,61.199093
217.5,216.79663
89.5,90.64938
69.7,76.688
79.9,79.1145
30.4,29.22136
134.2,134.39328
149.2,110.35092
41.5,57.05953
45.0,33.222683
112.9,101.79173
45.3,31.95419
67.6,73.27174
98.0,86.33915
168.0,170.53673
77.8,75.90183
127.9,129.97827
79.7,78.36362
90.0,90.27988
58.7,92.158066
193.0,159.70038
250.0,219.6641
107.5,110.159874
86.8,85.35632
158.6,116.147354
71.0,70.32232
99.4,105.85166
120.9,131.87561
68.8,69.60347
74.2,75.723816
93.0,92.00391
88.7,87.13922
65.7,66.50409
66.9,66.85829
96.6,97.863716
122.3,110.48111
101.9,97.48732
94.5,94.42179
86.4,84.45232
88.9,89.31396
155.0,144.69604
78.4,81.31781
105.9,91.53413
93.3,81.89142
84.9,88.326324
108.3,112.96627
62.1,70.81518
67.5,67.478195
124.8,127.88298
117.9,119.03064
128.8,128.00803
76.0,69.849846
80.8,79.85007
63.4,34.744
74.0,64.5179
209.1,179.53389
17.5,19.556555
141.2,141.04645
55.4,55.77569
70.2,66.99786
84.8,70.42026
124.5,127.58107
132.3,96.15389
91.3,90.935684
48.7,48.222622
24.7,24.071285
71.9,72.27426
98.1,99.17075
47.0,45.982777
128.2,109.668304
122.4,82.83354
138.5,103.35991
89.9,91.92535
84.6,81.442085
134.0,132.48253
104.4,100.31188
123.6,125.47325
147.4,148.9813
159.9,135.0119
141.4,151.54169
112.4,107.94374
34.8,33.90717
76.0,76.26973
59.8,58.226704
111.6,94.96665
153.0,132.81656
78.7,77.21158
42.4,40.501884
66.1,75.61099
84.7,87.286606
31.4,30.984364
90.2,81.305664
43.7,41.604595
60.4,60.005623
71.3,69.872086
85.9,70.214165
83.1,83.76283
184.3,211.95703
85.6,86.70205
44.1,27.430433
57.0,75.59181
76.2,80.37663
41.8,41.868145
178.5,170.94681
103.8,104.02125
70.3,76.39499
86.9,89.118645
51.3,51.980797
43.8,44.835995
112.9,112.33739
17.0,17.284962
125.3,117.437195
38.9,40.53338
97.8,95.323975
136.9,115.51727
89.3,93.91377
108.7,110.36032
137.0,147.80937
45.5,44.439777
67.9,69.50581
86.9,87.451744
46.9,46.922928
161.1,166.92505
103.0,102.01775
113.9,113.49821
60.7,59.635265
110.0,97.06351
71.6,77.82976
61.7,62.227207
85.8,83.92312
204.7,180.59656
50.7,51.49178
69.4,69.08363
139.9,131.62872
117.9,118.576035
150.0,159.0792
