Actual,Predicted
90.1,88.070274
134.13333,129.90356
103.6,102.83497
135.5,135.69252
130.1,131.0297
160.1,160.77126
118.0,115.8252
30.2,29.044935
76.1,76.683655
60.4,66.16528
93.1,90.41799
60.3,60.7462
65.7,63.97872
80.8,80.74418
26.9,25.12038
98.0,92.49652
59.11111,58.338066
65.77778,64.38219
210.0,209.83629
88.8,86.751686
178.5,181.31844
127.3,134.82703
83.1,83.74084
66.1,65.4013
68.8,68.75528
78.5,76.86678
57.0,54.520435
156.8,165.8412
116.0,118.25952
76.0,74.80716
106.53333,106.31113
46.9,46.61951
48.7,47.75731
36.5,35.128193
123.77778,124.48275
21.6,21.546776
112.17778,110.95452
104.9,105.08058
110.2,114.87432
56.8,56.4439
73.1,80.414986
160.1,170.77025
45.333332,43.909924
141.4,148.70782
117.3,116.36877
117.0,121.68546
69.751,68.58624
110.4,110.81692
72.9,71.97228
70.3,75.55215
89.155556,88.20245
124.8,125.0503
59.8,59.713676
73.751,73.4091
141.1,147.86646
217.5,199.35278
81.4,81.535515
61.1,61.89353
109.66,92.22842
75.8,73.494545
86.9,87.27519
83.3,84.368675
133.7,109.23129
44.5,42.350956
19.7,19.417334
43.7,43.397087
128.2,132.34373
99.9,101.7371
113.7,114.41001
124.5,122.36008
24.7,22.916748
50.666668,49.732834
98.9,98.78257
73.9,75.237656
96.7,95.56387
77.6,77.22346
64.2,64.79612
113.8,113.86151
136.6,146.2878
137.0,148.89902
67.9,67.1427
86.7,98.87212
77.9,78.94416
38.7,38.592674
96.6,95.89085
181.5,177.27222
149.9,145.0356
68.5,68.47494
97.8,97.73785
96.3,97.06518
17.0,16.522179
28.7,28.64279
81.77778,81.86567
77.2,75.88365
93.5,97.43072
40.88889,38.985107
71.111115,70.36396
94.0,93.47232
112.9,121.04573
155.0,159.55202
55.3,53.63421
89.9,90.261406
139.9,139.22655
50.9,50.39512
67.9,67.71682
83.2,82.761635
84.0,83.154366
167.7,176.69737
59.4,58.50875
146.9,143.80438
74.0,74.19988
94.5,94.72105
117.0,114.55332
76.2,74.90496
79.6,79.81151
153.8,149.76704
79.4,79.666725
134.0,134.55544
88.9,89.14788
93.9,99.3606
134.2,136.8037
103.64445,103.281555
91.3,88.82461
38.9,38.02299
127.5,128.1923
84.7,84.3434
141.2,157.62798
