PV,RMIC,Partial Dependence
0.784,9.2,79.65451
0.79,9.2,79.445946
0.81,9.2,79.25153
0.83,9.2,79.22362
0.86,9.2,79.62168
0.9,9.2,80.22719
0.918,9.2,81.93335
0.93,9.2,82.242485
0.95,9.2,82.70854
0.96,9.2,82.544556
1.0,9.2,84.38382
1.03,9.2,84.359146
1.07,9.2,84.51188
1.1,9.2,84.53903
1.133,9.2,84.57274
1.2,9.2,84.15055
1.23,9.2,84.190384
1.29,9.2,84.211655
1.331,9.2,84.87824
1.384,9.2,85.12773
1.41,9.2,85.18057
1.54,9.2,85.2124
1.56,9.2,85.1892
1.57,9.2,86.140305
1.63,9.2,86.11587
1.67,9.2,85.667984
1.7,9.2,85.47697
1.71,9.2,85.645424
1.74,9.2,86.3536
1.75,9.2,88.16588
1.77,9.2,88.85038
1.81,9.2,90.14144
1.93,9.2,90.252686
1.953,9.2,90.73252
2.071,9.2,91.945015
2.14,9.2,91.40978
2.17,9.2,92.45311
2.18,9.2,93.76672
2.42,9.2,93.70035
2.482,9.2,91.697296
2.756,9.2,90.58922
3.04,9.2,89.61476
3.428,9.2,89.61476
0.1,9.506531204644414,78.11572
0.26,9.506531204644414,78.11572
0.27,9.506531204644414,78.239525
0.315,9.506531204644414,78.68741
0.32,9.506531204644414,79.402176
0.38,9.506531204644414,79.43175
0.41,9.506531204644414,79.42765
0.447,9.506531204644414,79.55371
0.448,9.506531204644414,79.77062
0.5043,9.506531204644414,80.00704
0.54,9.506531204644414,79.95143
0.55,9.506531204644414,79.907455
0.551,9.506531204644414,81.87773
0.575,9.506531204644414,82.22569
0.5753,9.506531204644414,82.006256
0.58,9.506531204644414,82.37488
0.72,9.506531204644414,82.34566
0.721,9.506531204644414,83.252914
0.77,9.506531204644414,83.263054
0.78,9.506531204644414,79.696014
0.784,9.506531204644414,79.5026
0.79,9.506531204644414,79.29405
0.81,9.506531204644414,79.09964
0.83,9.506531204644414,79.07171
0.86,9.506531204644414,79.46978
0.9,9.506531204644414,80.075294
0.918,9.506531204644414,81.781456
0.93,9.506531204644414,82.09059
0.95,9.506531204644414,81.99773
0.96,9.506531204644414,81.83374
1.0,9.506531204644414,83.673004
1.03,9.506531204644414,83.64832
1.07,9.506531204644414,83.80106
1.1,9.506531204644414,83.82822
1.133,9.506531204644414,83.861916
1.2,9.506531204644414,83.439735
1.23,9.506531204644414,83.47956
